Date,AAVE-USD,ADA-USD,ALGO-USD,ATOM-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CHR-USD,DASH-USD,DOGE-USD,DOT-USD,EOS-USD,ETC-USD,ETH-USD,FIL-USD,FTT-USD,LINK-USD,LTC-USD,MATIC-USD,NEO-USD,SOL-USD,THETA-USD,TRX-USD,UNI-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2020-01-11,0.5165709853172302,0.03682500123977661,0.22708000242710114,4.275179862976074,4.896294116973877,260.67999267578125,14.946328163146973,8037.53759765625,0.013319999910891056,63.402320861816406,0.0023139999248087406,2.9000799655914307,2.9887149333953857,5.580108165740967,142.92710876464844,4.050130844116211,2.1485629081726074,2.2832469940185547,49.26376724243164,0.014816000126302242,9.721470832824707,0.9510539770126343,0.0935640037059784,0.014613999985158443,0.0029440000653266907,0.005535000003874302,0.047547001391649246,58.45027160644531,0.21185100078582764,34.967613220214844
2020-01-12,0.5165709853172302,0.037689998745918274,0.22730599343776703,4.262907028198242,4.896294116973877,268.237060546875,15.322083473205566,8192.494140625,0.013136000372469425,66.30036926269531,0.002380999969318509,2.9000799655914307,3.1917929649353027,5.564109802246094,145.87393188476562,4.317707061767578,2.18894100189209,2.2451930046081543,51.08073806762695,0.015008999966084957,10.265249252319336,0.9510539770126343,0.09504599869251251,0.014976000413298607,0.002841999987140298,0.005541000049561262,0.048319000750780106,59.324764251708984,0.21563300490379333,35.70854568481445
2020-01-13,0.5165709853172302,0.036965999752283096,0.22844499349594116,4.255969047546387,4.896294116973877,267.5228271484375,15.227272033691406,8144.1943359375,0.01308200042694807,69.58311462402344,0.0023580000270158052,2.9000799655914307,3.1103100776672363,5.49685001373291,144.22659301757812,3.9863131046295166,2.1608939170837402,2.192452907562256,49.733768463134766,0.01553099974989891,10.061612129211426,0.9510539770126343,0.09724099934101105,0.014705999754369259,0.003527000080794096,0.005439999978989363,0.04812199994921684,58.00568389892578,0.21261699497699738,38.366554260253906
2020-01-14,0.5165709853172302,0.04165999963879585,0.23072099685668945,4.539907932281494,4.896294116973877,350.2635192871094,16.626121520996094,8827.7646484375,0.012330999597907066,88.69843292236328,0.002469999948516488,2.9000799655914307,3.8306539058685303,6.8097381591796875,165.95535278320312,4.434300899505615,2.179442882537842,2.3899269104003906,58.478233337402344,0.015730999410152435,11.238227844238281,0.9510539770126343,0.10358700156211853,0.016720000654459,0.003435000078752637,0.006006000097841024,0.052115000784397125,62.821903228759766,0.23468700051307678,43.981422424316406
2020-01-15,0.5165709853172302,0.04255300015211105,0.24661700427532196,4.567895889282227,4.896294116973877,339.39532470703125,17.65481185913086,8807.0107421875,0.012376000173389912,132.27294921875,0.0023690001107752323,2.9000799655914307,3.7693519592285156,7.976096153259277,166.23068237304688,3.3348031044006348,2.365022897720337,2.4049770832061768,58.05284881591797,0.016367999836802483,11.420886039733887,0.9510539770126343,0.1031159982085228,0.017284000292420387,0.0035800000187009573,0.006002999842166901,0.05478899925947189,68.33885192871094,0.23289500176906586,54.81679916381836
2020-01-16,0.5165709853172302,0.041391000151634216,0.2405090034008026,5.0763020515441895,4.896294116973877,325.9784851074219,17.076946258544922,8723.7861328125,0.012153999879956245,128.15994262695312,0.0023449999280273914,2.9000799655914307,3.8320438861846924,8.377723693847656,164.39100646972656,4.4547529220581055,2.3988430500030518,2.4844789505004883,57.618255615234375,0.01607700064778328,11.270777702331543,0.9510539770126343,0.10126999765634537,0.017118999734520912,0.003575999988242984,0.005905000027269125,0.0537480004131794,65.68069458007812,0.2285739928483963,50.92793655395508
2020-01-17,0.5165709853172302,0.04497800022363663,0.26248401403427124,5.001200199127197,4.896294116973877,366.97698974609375,18.13519859313965,8929.0380859375,0.012310000136494637,114.38207244873047,0.0024900001008063555,2.9000799655914307,3.9230129718780518,9.519625663757324,170.7799530029297,5.037312984466553,2.3903648853302,2.724108934402466,61.487125396728516,0.018818000331521034,11.892013549804688,0.9510539770126343,0.10994700342416763,0.017666000872850418,0.0033100000582635403,0.006357000209391117,0.06005199998617172,69.17634582519531,0.23877599835395813,61.660400390625
2020-01-18,0.5165709853172302,0.04485100135207176,0.2602820098400116,4.6333489418029785,4.896294116973877,339.11627197265625,17.82391929626465,8942.80859375,0.01215600036084652,101.56104278564453,0.002506999997422099,2.9000799655914307,3.8173060417175293,8.329156875610352,175.3656768798828,4.819221019744873,2.383168935775757,2.7741050720214844,59.40864562988281,0.01751900091767311,11.897150039672852,0.9510539770126343,0.10756299644708633,0.017715999856591225,0.0034149999264627695,0.006256000138819218,0.06115499883890152,67.18946838378906,0.24328599870204926,51.308982849121094
2020-01-19,0.5165709853172302,0.041978999972343445,0.2400210052728653,4.518617153167725,4.896294116973877,338.30511474609375,17.369253158569336,8706.2451171875,0.012071999721229076,104.79486846923828,0.0024049999192357063,2.9000799655914307,3.615389108657837,8.508953094482422,166.9698486328125,5.137430191040039,2.283015012741089,2.6189510822296143,57.80069351196289,0.01639699935913086,11.241828918457031,0.9510539770126343,0.1114249974489212,0.016620000824332237,0.003857000032439828,0.005882999859750271,0.060044001787900925,65.12628936767578,0.23558500409126282,51.49140167236328
2020-01-20,0.5165709853172302,0.043873000890016556,0.23785899579524994,4.505303859710693,4.896294116973877,343.8071594238281,17.325275421142578,8657.642578125,0.012236000038683414,109.566650390625,0.0023739999160170555,2.9000799655914307,3.610590934753418,8.673727035522461,167.12051391601562,5.449347019195557,2.2676870822906494,2.697299003601074,57.20326232910156,0.016899000853300095,11.14227294921875,0.9510539770126343,0.10914599895477295,0.01662600040435791,0.00419300002977252,0.005843999795615673,0.06204399839043617,64.9897689819336,0.2332960069179535,53.771549224853516
